team_code,shirt_number,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,source,source_page
ALG,24,MF,TITRAOUI Yassine,Yassine M E G,TITRAOUI,TITRAOUI,26/08/2003,Sporting Charleroi (BEL),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1
ALG,25,FW,GHEDJEMIS Fares,Fares,GHEDJEMIS,GHEDJEMIS,06/09/2002,Frosinone (ITA),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1
ALG,26,DF,CHERGUI Samir,Samir Sophian,CHERGUI,CHRGUI,06/02/1999,Paris FC (FRA),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,1
ARG,1,GK,MUSSO Juan,Juan Agustín,MUSSO,MUSSO,06/05/1994,Atlético De Madrid (ESP),193,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,2,DF,BALERDI Leonardo,Leonardo Julián,BALERDI ROSA,BALERDI,26/01/1999,Olympique Marseille (FRA),188,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,31/08/1992,Olympique Lyonnais (FRA),172,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,01/01/1997,CA River Plate (ARG),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,29/06/1994,CA Boca Juniors (ARG),182,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,6,DF,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,18/01/1998,Manchester United FC (ENG),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,24/05/1994,Inter Miami CF (USA),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,8,MF,BARCO Valentin,Valentin,BARCO,BARCO,23/07/2004,RC Strasbourg (FRA),172,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,9,FW,ALVAREZ Julian,Julián,ÁLVAREZ,J. ALVAREZ,31/01/2000,Atlético De Madrid (ESP),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,10,FW,MESSI Lionel,Lionel Andrés,MESSI,MESSI,24/06/1987,Inter Miami CF (USA),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,11,MF,LO CELSO Giovani,Giovani,LO CELSO,LO CELSO,09/04/1996,Real Betis (ESP),177,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,20/05/1992,Olympique Marseille (FRA),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,27/04/1998,Tottenham Hotspur FC (ENG),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,05/10/1998,Bayer 04 Leverkusen (GER),177,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,15,MF,GONZALEZ Nico,Nicolas Ivan,GONZALEZ,N. GONZALEZ,06/04/1998,Atlético De Madrid (ESP),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,16,FW,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,26/04/2001,Atlético De Madrid (ESP),171,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,17,FW,SIMEONE Giuliano,Giuliano,SIMEONE,SIMEONE,18/12/2002,Atlético De Madrid (ESP),174,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,18,FW,PAZ Nico,Nicolas,PAZ MARTÍNEZ,NICO PAZ,08/09/2004,Como (ITA),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,12/02/1988,SL Benca (POR),182,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,24/12/1998,Liverpool FC (ENG),176,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,21,FW,LOPEZ Jose Manuel,Jose Manuel Alberto,LOPEZ,LOPEZ,06/12/2000,SE Palmeiras (BRA),190,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTINEZ,22/08/1997,FC Internazionale Milano (ITA),175,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTINEZ,02/09/1992,Aston Villa FC (ENG),195,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,24,MF,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNANDEZ,17/01/2001,Chelsea FC (ENG),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,25,DF,MEDINA Facundo,Facundo Axel,MEDINA,MEDINA,28/05/1999,Olympique Marseille (FRA),184,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
ARG,26,DF,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,06/04/1998,Atlético De Madrid (ESP),179,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2
AUS,1,GK,RYAN Mathew,Mathew David,RYAN,,,08/04/1992,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,2,DF,DEGENEK Milos,Milos,DEGENEK,,,28/04/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,3,DF,CIRCATI Alessandro,Alessandro,CIRCATI,,,10/10/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,4,DF,ITALIANO Jacob,Jacob Michael,ITALIANO,,,30/07/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,5,DF,BOS Jordan,Jordan Jacob,BOS,,,29/10/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,6,DF,GERIA Jason,Jason Kato,GERIA,,,10/05/1993,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,7,FW,LECKIE Mathew,Mathew Allan,LECKIE,,,04/02/1991,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,8,MF,METCALFE Connor,Connor Isaac,METCALFE,,,05/11/1999,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,9,FW,TOURE Mohamed,Mohamed A,TOURE,,,26/03/2004,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,10,FW,HRUSTIC Ajdin,Ajdin,HRUSTIC,,,05/07/1996,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,11,FW,MABIL Awer,Awer Bul,MABIL,,,15/09/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,12,GK,IZZO Paul,Paul David,IZZO,,,06/01/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,13,MF,ONEILL Aiden,Aiden Connor,O'NEILL,,,04/07/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,14,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,,,07/06/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,15,DF,TREWIN Kai,Kai Clifton,TREWIN,,,18/05/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,16,DF,BEHICH Aziz,Aziz,BEHICH,,,16/12/1990,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,17,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,,,09/02/2006,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,18,GK,BEACH Patrick,Patrick Thomas,BEACH,,,06/08/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,19,DF,SOUTTAR Harry,Harry James,SOUTTAR,,,22/10/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,20,FW,VOLPATO Cristian,Cristian,VOLPATO,,,15/11/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,21,DF,BURGESS Cameron,Cameron Robert,BURGESS,,,21/10/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,22,MF,IRVINE Jackson,Jackson Alexander,IRVINE,,,07/03/1993,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,23,FW,VELUPILLAY Nishan,Nishan Matthew,VELUPILLAY,,,07/05/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,24,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,,,24/01/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,25,DF,HERRINGTON Lucas,Lucas,HERRINGTON,,,05/09/2007,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUS,26,FW,YENGI Tete,Tete Owen,YENGI,,,28/11/2000,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,3
AUT,1,GK,SCHLAGER Alexander,Alexander,SCHLAGER,,,01/02/1996,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,2,DF,AFFENGRUBER David,David Leopold,AFFENGRUBER,,,19/03/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,3,DF,DANSO Kevin,Kevin,DANSO,,,19/09/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,4,MF,SCHLAGER Xaver,Xaver,SCHLAGER,,,28/09/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,5,DF,POSCH Stefan,Stefan,POSCH,,,14/05/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,6,MF,SEIWALD Nicolas,Nicolas,SEIWALD,,,04/05/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,7,FW,ARNAUTOVIC Marko,Marko,ARNAUTOVIC,,,19/04/1989,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,8,DF,ALABA David,David,ALABA,,,24/06/1992,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,9,MF,SABITZER Marcel,Marcel,SABITZER,,,17/03/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,10,MF,GRILLITSCH Florian,Florian,GRILLITSCH,,,07/08/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,11,FW,GREGORITSCH Michael,Michael,GREGORITSCH,,,18/04/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,12,GK,WIEGELE Florian,Florian,WIEGELE,,,21/03/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,13,GK,PENTZ Patrick,Patrick,PENTZ,,,02/01/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,14,FW,KALAJDZIC Sasa,Saša,KALAJDŽIĆ,,,07/07/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,15,DF,LIENHART Philipp,Philipp,LIENHART,,,11/07/1996,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,16,DF,MWENE Phillip,Phillip,MWENE,,,29/01/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,17,MF,CHUKWUEMEKA Carney,Carney Chibueze,CHUKWUEMEKA,,,20/10/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,18,MF,SCHMID Romano,Romano,SCHMID,,,27/01/2000,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,19,MF,BAUMGARTNER Christoph,Christoph,BAUMGARTNER,,,01/08/1999,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,20,MF,LAIMER Konrad,Konrad,LAIMER,,,27/05/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,21,FW,WIMMER Patrick,Patrick,WIMMER,,,30/05/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,22,MF,PRASS Alexander,Alexander,PRASS,,,26/05/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,23,DF,FRIEDL Marco,Marco,FRIEDL,,,16/03/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,24,MF,WANNER Paul,Paul,WANNER,,,23/12/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,25,DF,SVOBODA Michael,Michael,SVOBODA,,,15/10/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
AUT,26,MF,SCHOEPF Alessandro,Alessandro Andre,SCHÖPF,,,07/02/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4
BEL,1,GK,COURTOIS Thibaut,Thibaut Nicolas M,COURTOIS,,,11/05/1992,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,2,DF,DEBAST Zeno,Zeno Koen,DEBAST,,,24/10/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,3,DF,THEATE Arthur,Arthur Nicolas R,THEATE,,,25/05/2000,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,4,DF,MECHELE Brandon,Brandon Erik,MECHELE,,,28/01/1993,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,5,DF,DE CUYPER Maxim,Maxim Peter M,DE CUYPER,,,22/12/2000,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,6,MF,WITSEL Axel,Axel Laurent A,WITSEL,,,12/01/1989,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,7,MF,DE BRUYNE Kevin,Kevin,DE BRUYNE,,,28/06/1991,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,8,MF,TIELEMANS Youri,Youri Marion A,TIELEMANS,,,07/05/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,9,FW,LUKAKU Romelu,Romelu,LUKAKU BOLINGOLI,,,13/05/1993,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,10,FW,TROSSARD Leandro,Leandro,TROSSARD,,,04/12/1994,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,11,FW,DOKU Jeremy,Jeremy Baffour,DOKU,,,27/05/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,12,GK,LAMMENS Senne,Senne,LAMMENS,,,07/07/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,13,GK,PENDERS Mike,Mike Louis,PENDERS,,,31/07/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,14,FW,LUKEBAKIO Dodi,Dodi,LUKEBAKIO NGANDOLI,,,24/09/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,15,DF,MEUNIER Thomas,Thomas Andre A,MEUNIER,,,12/09/1991,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,16,DF,DE WINTER Koni,Koni,DE WINTER,,,12/06/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,17,FW,DE KETELAERE Charles,Charles Marc S,DE KETELAERE,,,10/03/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,18,DF,SEYS Joaquin,Joaquin Ronny,SEYS,,,28/03/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,19,MF,MOREIRA Diego,Diego Manuel J,DA SILVA MOREIRA,,,06/08/2004,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,20,MF,VANAKEN Hans,Hans,VANAKEN,,,24/08/1992,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,21,DF,CASTAGNE Timothy,Timothy,CASTAGNE,,,05/12/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,22,MF,SAELEMAEKERS Alexis,Alexis Jesse M,SAELEMAEKERS,,,27/06/1999,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,23,MF,RASKIN Nicolas,Nicolas Thierry Y,RASKIN,,,23/02/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,24,MF,ONANA Amadou,Amadou Ba Z,MVOM ONANA,,,16/08/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,25,DF,NGOY Nathan,Nathan,NGOY,,,10/06/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BEL,26,FW,FERNANDEZ-PARDO Matias,Matias,FERNANDEZ-PARDO,,,03/02/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5
BIH,1,GK,VASILJ Nikola,Nikola,VASILJ,,,02/12/1995,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,2,DF,MUJAKIC Nihad,Nihad,MUJAKIC,,,15/04/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,3,DF,HADZIKADUNIC Dennis,Dennis,HADŽIKADUNIĆ,,,09/07/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,4,DF,MUHAREMOVIC Tarik,Tarik,MUHAREMOVIC,,,28/02/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,5,DF,KOLASINAC Sead,Sead,KOLAŠINAC,,,20/06/1993,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,6,MF,TAHIROVIC Benjamin,Benjamin,TAHIROVIC,,,03/03/2003,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,7,DF,DEDIC Amar,Amar,DEDIC,,,18/08/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,8,MF,GIGOVIC Armin,Armin,GIGOVIC,,,06/04/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,9,FW,BAZDAR Samed,Samed,BAŽDAR,,,31/01/2004,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,10,FW,DEMIROVIC Ermedin,Ermedin,DEMIROVIĆ,,,25/03/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,11,FW,DZEKO Edin,Edin,DŽEKO,,,17/03/1986,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,12,GK,JURKAS Mladen,Mladen,JURKAS,,,07/10/2007,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,13,MF,BASIC Ivan,Ivan,BASIC,,,30/04/2002,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,14,MF,SUNJIC Ivan,Ivan,ŠUNJIĆ,,,09/10/1996,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,15,MF,MEMIC Amar,Amar,MEMIĆ,,,20/01/2001,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,16,MF,HADZIAHMETOVIC Amir,Amir,HADŽIAHMETOVIĆ,,,08/03/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,17,MF,BURNIC Dzenis,Dženis,BURNIĆ,,,22/05/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,18,DF,KATIC Nikola,Nikola,KATIC,,,10/10/1996,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,19,FW,ALAJBEGOVIC Kerim,Kerim,ALAJBEGOVIC,,,21/09/2007,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,20,FW,BAJRAKTAREVIC Esmir,Esmir,BAJRAKTAREVIC,,,10/03/2005,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,21,DF,RADELJIC Stjepan,Stjepan,RADELJIC,,,05/09/1997,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
BIH,22,GK,ZLOMISLIC Martin,Martin,ZLOMISLIC,,,16/08/1998,,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,6
