team_code,team_name_from_pdf,shirt_number,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,source_url,source_page,extraction_method
AUT,Austria,4,MF,SCHLAGER Xaver,Xaver,SCHLAGER,XAVER,28/09/1997,RB Leipzig (GER),174,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,5,DF,POSCH Stefan,Stefan,POSCH,POSCH,14/05/1997,1. FSV Mainz 05 (GER),188,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,6,MF,SEIWALD Nicolas,Nicolas,SEIWALD,SEIWALD,04/05/2001,RB Leipzig (GER),179,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,7,FW,ARNAUTOVIC Marko,Marko,ARNAUTOVIC,ARNAUTOVIC,19/04/1989,FK Crvena Zvezda (SRB),192,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,8,DF,ALABA David,David,ALABA,ALABA,24/06/1992,Real Madrid C. F. (ESP),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,9,MF,SABITZER Marcel,Marcel,SABITZER,SABITZER,17/03/1994,Borussia Dortmund (GER),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,10,MF,GRILLITSCH Florian,Florian,GRILLITSCH,GRILLITSCH,07/08/1995,SC Braga (POR),186,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,11,FW,GREGORITSCH Michael,Michael,GREGORITSCH,GREGORITSCH,18/04/1994,FC Augsburg (GER),193,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,12,GK,WIEGELE Florian,Florian,WIEGELE,WIEGELE,21/03/2001,FC Viktoria Plzeň (CZE),205,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,13,GK,PENTZ Patrick,Patrick,PENTZ,PENTZ,02/01/1997,Brøndby IF (DEN),183,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,14,FW,KALAJDZIC Sasa,Saša,KALAJDŽIĆ,KALAJDZIC,07/07/1997,LASK Linz (AUT),200,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,15,DF,LIENHART Philipp,Philipp,LIENHART,LIENHART,11/07/1996,SC Freiburg (GER),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,16,DF,MWENE Phillip,Phillip,MWENE,MWENE,29/01/1994,1. FSV Mainz 05 (GER),170,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,17,MF,CHUKWUEMEKA Carney,Carney Chibueze,CHUKWUEMEKA,CHUKWUEMEKA,20/10/2003,Borussia Dortmund (GER),187,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,18,MF,SCHMID Romano,Romano,SCHMID,SCHMID,27/01/2000,SV Werder Bremen (GER),168,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,19,MF,BAUMGARTNER Christoph,Christoph,BAUMGARTNER,BAUMGARTNER,01/08/1999,RB Leipzig (GER),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,20,MF,LAIMER Konrad,Konrad,LAIMER,LAIMER,27/05/1997,FC Bayern München (GER),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,21,FW,WIMMER Patrick,Patrick,WIMMER,WIMMER,30/05/2001,VfL Wolfsburg (GER),182,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,22,MF,PRASS Alexander,Alexander,PRASS,PRASS,26/05/2001,TSG Hoffenheim (GER),180,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,23,DF,FRIEDL Marco,Marco,FRIEDL,FRIEDL,16/03/1998,SV Werder Bremen (GER),187,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,24,MF,WANNER Paul,Paul,WANNER,WANNER,23/12/2005,PSV Eindhoven (NED),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,25,DF,SVOBODA Michael,Michael,SVOBODA,SVOBODA,15/10/1998,Venezia FC (ITA),195,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
AUT,Austria,26,MF,SCHOEPF Alessandro,Alessandro Andre,SCHÖPF,SCHÖPF,07/02/1994,Wolfsberger AC (AUT),178,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,4,pdfplumber_extract_table_header_mapped_v2
BEL,Belgium,1,GK,COURTOIS Thibaut,Thibaut Nicolas M,COURTOIS,COURTOIS,11/05/1992,Real Madrid C. F. (ESP),199,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5,pdfplumber_extract_table_header_mapped_v2
BEL,Belgium,2,DF,DEBAST Zeno,Zeno Koen,DEBAST,DEBAST,24/10/2003,Sporting CP (POR),189,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5,pdfplumber_extract_table_header_mapped_v2
BEL,Belgium,3,DF,THEATE Arthur,Arthur Nicolas R,THEATE,THEATE,25/05/2000,Eintracht Frankfurt (GER),185,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,5,pdfplumber_extract_table_header_mapped_v2
